miner_type,chip_id,baud_rate,board_num,chip_num,chip_column_num,cool_temp,pre_heat_temp,pre_heat_end_freq,pre_heat_timeout,fan_size_cm,cooling_after_test,pass_cores0,pass_cores1,pass_cores2,cool_mode,btminer_test,slot_link,temp_slot1_map,temp_slot3_map,eeprom_slot1_map,eeprom_slot3_map,chip_num0,chip_num1,chip_num2,chip_num3,detect_extend
M30V10,0x1930,12000000,3,105,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30V20,0x1930,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30KV10,0x1930,12000000,4,240,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30LV10,0x1930,12000000,4,144,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++V10,0x1930,12000000,4,255,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++V20,0x1930,12000000,4,255,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VE30,0x1950,12000000,3,215,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VE40,0x1950,12000000,3,225,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VE50,0x1950,12000000,3,235,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VF40,0x1958,12000000,3,156,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VG30,0x1960,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VG40,0x1960,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VG50,0x1960,12000000,3,123,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH10,0x1968,12000000,3,82,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH100,0x1968,12000000,3,82,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH110,0x1968,12000000,3,105,3,35,,,,14,,,,,,,,,,,,,,,,
M30S++VH20,0x1968,12000000,3,86,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH30,0x1968,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH40,0x1968,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH50,0x1968,12000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH60,0x1968,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH70,0x1968,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH80,0x1968,12000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VH90,0x1968,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VI30,0x1970,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VJ20,0x1973,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VJ30,0x1973,12000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S++VJ50,0x1973,12000000,3,82,2,35,25,210,300,14,,,,,,,,,,,,,,,,
M30S++VJ60,0x1973,12000000,3,111,3,35,25,210,300,14,,,,,,,,,,,,,,,,
M30S++VJ70,0x1973,12000000,3,117,3,35,25,210,300,14,,,,,,,,,,,,,,,,
M30S+V10,0x1930,12000000,3,215,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+V100,0x1930,12000000,3,215,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+V20,0x1930,12000000,3,255,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+V40,0x1930,12000000,3,235,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+V50,0x1930,12000000,3,225,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+V60,0x1930,12000000,3,245,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+V70,0x1930,12000000,3,235,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+V80,0x1930,12000000,3,245,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+V90,0x1930,12000000,3,225,5,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VE30,0x1950,12000000,3,148,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VE40,0x1950,12000000,3,156,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VE50,0x1950,12000000,3,164,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VE60,0x1950,12000000,3,172,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VF20,0x1958,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VF30,0x1958,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VG20,0x1960,12000000,3,82,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VG30,0x1960,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VG40,0x1960,12000000,3,105,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VG50,0x1960,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VG60,0x1960,12000000,3,86,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VH10,0x1968,12000000,3,64,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VH20,0x1968,12000000,3,66,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VH30,0x1968,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VH40,0x1968,12000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VH50,0x1968,12000000,3,64,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VH60,0x1968,12000000,3,66,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VI30,0x1970,12000000,3,86,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30S+VJ30,0x1973,12000000,3,105,3,35,25,210,300,14,,,,,,,,,,,,,,,,
M30S+VJ40,0x1973,12000000,3,117,3,35,,,,14,,,,,,,,,,,,,,,,
M30SV10,0x1930,12000000,3,148,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SV20,0x1930,12000000,3,156,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SV30,0x1930,12000000,3,164,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SV40,0x1930,12000000,3,172,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SV50,0x1930,12000000,3,156,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SV60,0x1930,12000000,3,164,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SV80,0x1930,12000000,3,129,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVE10,0x1950,12000000,3,105,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVE20,0x1950,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVE30,0x1950,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVE40,0x1950,12000000,3,123,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVE50,0x1950,12000000,3,129,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVF10,0x1958,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVF20,0x1958,12000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVF30,0x1958,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVG10,0x1960,12000000,3,66,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVG20,0x1960,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVG30,0x1960,12000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVG40,0x1960,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVH10,0x1968,12000000,3,64,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVH20,0x1968,12000000,3,66,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVH40,0x1968,12000000,3,64,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVH50,0x1968,12000000,3,66,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M30SVI20,0x1970,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31V10,0x1930,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31V20,0x1930,12000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31HV10,0x1930,12000000,3,114,3,38,25,210,300,,1,314,209,105,3,1,,,,,,,,,,
M31HV40,0x1930,12000000,4,136,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M31LV10,0x1930,12000000,3,114,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V10,0x1930,12000000,3,105,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V100,0x1930,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V20,0x1930,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V30,0x1930,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V40,0x1930,12000000,3,123,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V50,0x1930,12000000,3,148,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V60,0x1930,12000000,3,156,4,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V80,0x1930,12000000,3,129,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+V90,0x1930,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+VE10,0x1950,12000000,3,82,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+VE20,0x1950,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+VE30,0x1950,12000000,3,105,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+VE40,0x1950,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+VE50,0x1950,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+VF20,0x1958,12000000,3,66,2,38,25,300,300,14,1,314,209,105,,,,,,,,,,,,
M31S+VG20,0x1960,12000000,3,66,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31S+VG30,0x1960,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SV10,0x1930,12000000,3,105,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SV20,0x1930,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SV30,0x1930,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SV30,0x1930,12000000,3,123,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SV50,0x1930,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SV60,0x1930,12000000,3,105,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SV20,0x1930,12000000,3,111,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SV90,0x1930,12000000,3,117,3,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SVE10,0x1950,12000000,3,70,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SVE10,0x1950,12000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SEV10,0x1930,12000000,3,82,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SEV20,0x1930,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M31SEV30,0x1930,12000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M32V10,0x1930,6000000,3,78,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M32V20,0x1930,6000000,3,74,2,38,25,210,300,14,1,314,209,105,,,,,,,,,,,,
M33V10,0x1930,12000000,3,33,1,38,25,300,300,,1,314,209,105,,,,,,,,,,,,
M33V20,0x1930,12000000,3,62,2,38,25,300,300,,1,314,209,105,,,,,,,,,,,,
M33V30,0x1930,12000000,3,66,2,38,25,300,300,,1,314,209,105,,,,,,,,,,,,
M33SAP40,0x1960,12000000,4,174,3,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M33S++VG40,0x1960,12000000,4,174,3,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M33S++VH20,0x1968,9000000,4,112,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M33S+VG20,0x1960,12000000,4,112,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M33S+VG30,0x1960,12000000,4,162,3,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M33S+VH20,0x1968,12000000,4,100,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M33S+VH30,0x1968,12000000,4,,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,116,106,116,106,
M33SVG30,0x1960,12000000,4,116,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M34S+VE10,0x1950,12000000,4,116,2,38,25,210,300,,1,314,209,105,3,1,"""0:1 2:3""",0,2,0,2,,,,,
M36S++VH30,0x1968,12000000,4,80,2,38,25,210,300,14,1,314,209,105,2,1,"""0:1 2:3""",0,2,0,2,,,,,
M36S+VG30,0x1960,12000000,4,108,3,38,25,210,300,14,1,314,209,105,2,1,"""0:1 2:3""",0,2,0,2,,,,,
M36SVE10,0x1950,12000000,4,114,3,38,25,210,300,14,1,314,209,105,2,1,"""0:1 2:3""",0,2,0,2,,,,,
M39V10,0x1930,12000000,3,50,2,38,25,210,300,,1,314,209,105,,,,,,,,,,,,
M39V20,0x1930,12000000,3,54,2,38,25,210,300,,1,314,209,105,,,,,,,,,,,,
M39V30,0x1930,12000000,3,68,2,38,25,210,300,,1,314,209,105,,,,,,,,,,,,
