model,bin,freq,voltage_target,voltage_limit,chip_temp,board_temp,ok_core_pct,min_power
m50.ve30,bin1v1_A,312,1450,9999,-1,80,97,0000
m50.ve30,bin1v1_B,312,1450,9999,-1,80,97,0000
m50.ve30,bin1v1_C,312,1450,9999,-1,80,97,0000
m50.ve30,bin1v1_D,312,1450,9999,-1,78,97,0000
m50.ve30,bin2v1_A,312,1450,9999,-1,80,97,0000
m50.ve30,bin2v1_B,312,1450,9999,-1,80,97,0000
m50.ve30,bin2v1_C,312,1450,9999,-1,80,97,0000
m50.ve30,bin2v1_D,312,1450,9999,-1,78,97,0000
m50.ve30,bin3v1_A,312,1450,9999,-1,80,97,0000
m50.ve30,bin3v1_B,312,1450,9999,-1,80,97,0000
m50.ve30,bin3v1_C,312,1450,9999,-1,80,97,0000
m50.ve30,bin3v1_D,312,1450,9999,-1,78,97,0000
m50.ve30,bin1,312,1450,9999,-1,80,97,0000
m50.ve30,bin2,312,1450,9999,-1,80,97,0000
m50.ve30,bin3,312,1450,9999,-1,80,97,0000
m50.ve30,bin4,312,1450,9999,-1,80,97,0000
m50.ve30,bin5,312,1450,9999,-1,80,97,0000
m50.ve30,bin6,312,1450,9999,-1,80,97,0000
m50.vg30,bin1v1_A,483,1200,9999,-1,76,97,0000
m50.vg30,bin1v1_E,483,1190,9999,-1,76,97,0000
m50.vg30,bin1v1_F,483,1190,9999,-1,76,97,0000
m50.vg30,bin1v1_G,483,1190,9999,-1,70,97,0000
m50.vg30,bin2v1_A,483,1210,9999,-1,76,97,0000
m50.vg30,bin2v1_E,483,1200,9999,-1,76,97,0000
m50.vg30,bin2v1_F,483,1200,9999,-1,76,97,0000
m50.vg30,bin2v1_G,483,1200,9999,-1,70,97,0000
m50.vg30,bin3v1_A,483,1210,9999,-1,76,97,0000
m50.vg30,bin3v1_E,483,1210,9999,-1,76,97,0000
m50.vg30,bin3v1_F,483,1210,9999,-1,76,97,0000
m50.vg30,bin3v1_G,483,1210,9999,-1,70,97,0000
m50.vg30,bin4v1_A,483,1220,9999,-1,76,97,0000
m50.vg30,bin4v1_E,483,1220,9999,-1,76,97,0000
m50.vg30,bin4v1_F,483,1220,9999,-1,76,97,0000
m50.vg30,bin4v1_G,483,1220,9999,-1,70,97,0000
m50.vg30,bin5v1_A,483,1230,9999,-1,76,97,0000
m50.vg30,bin5v1_E,483,1230,9999,-1,76,97,0000
m50.vg30,bin5v1_F,483,1230,9999,-1,76,97,0000
m50.vg30,bin5v1_G,483,1230,9999,-1,70,97,0000
m50.vg30,bin6v1_A,483,1240,9999,-1,76,97,0000
m50.vg30,bin6v1_E,483,1240,9999,-1,76,97,0000
m50.vg30,bin6v1_F,483,1240,9999,-1,76,97,0000
m50.vg30,bin6v1_G,483,1240,9999,-1,70,97,0000
m50.vg30,bin9v1_A,483,1250,9999,-1,80,97,0000
m50.vg30,bin9v1_E,483,1250,9999,-1,78,97,0000
m50.vg30,bin9v1_F,483,1250,9999,-1,76,97,0000
m50.vg30,bin9v1_G,483,1250,9999,-1,70,97,0000
m50.vg30,bin1,483,1243,9999,-1,70,97,0000
m50.vg30,bin2,483,1243,9999,-1,70,97,0000
m50.vg30,bin3,483,1243,9999,-1,70,97,0000
m50.vg30,bin4,483,1243,9999,-1,70,97,0000
m50.vg30,bin5,483,1243,9999,-1,70,97,0000
m50.vg30,bin6,483,1243,9999,-1,70,97,0000
m50.vh10,bin1v1_A,36.7,1420,74,97,0000,29.8,unknown
m50.vh10,bin1v1_C,36.7,1420,72,97,0000,29.8,unknown
m50.vh10,bin1v1_E,36.7,1420,72,97,0000,29.8,unknown
m50.vh10,bin1v1_G,36.7,1420,70,97,0000,29.8,unknown
m50.vh10,bin2v1_A,36.7,1430,74,97,0000,29.8,unknown
m50.vh10,bin2v1_C,36.7,1430,72,97,0000,29.8,unknown
m50.vh10,bin2v1_E,36.7,1430,72,97,0000,29.8,unknown
m50.vh10,bin2v1_G,36.7,1430,70,97,0000,29.8,unknown
m50.vh10,bin3v1_A,36.7,1440,74,97,0000,29.8,unknown
m50.vh10,bin3v1_C,36.7,1440,72,97,0000,29.8,unknown
m50.vh10,bin3v1_E,36.7,1440,72,97,0000,29.8,unknown
m50.vh10,bin3v1_G,36.7,1440,70,97,0000,29.8,unknown
m50.vh10,bin4v1_A,36.7,1450,74,97,0000,29.8,unknown
m50.vh10,bin4v1_C,36.7,1450,72,97,0000,29.8,unknown
m50.vh10,bin4v1_E,36.7,1450,72,97,0000,29.8,unknown
m50.vh10,bin4v1_G,36.7,1450,70,97,0000,29.8,unknown
m50.vh10,bin5v1_A,36.7,1450,74,97,0000,29.8,unknown
m50.vh10,bin5v1_C,36.7,1450,72,97,0000,29.8,unknown
m50.vh10,bin5v1_E,36.7,1450,72,97,0000,29.8,unknown
m50.vh10,bin5v1_G,36.7,1450,70,97,0000,29.8,unknown
m50.vh10,bin1,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin2,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin3,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin4,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin5,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin6,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin9,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin10,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin11,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin12,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin13,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin14,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin15,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin16,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin17,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin18,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin19,36.7,1400,70,97,0000,29.8,unknown
m50.vh10,bin20,36.7,1400,70,97,0000,29.8,unknown
m50.vh20,bin1v1_A,37.4,1200,74,97,0000,28.8,unknown
m50.vh20,bin1v1_C,37.4,1190,72,97,0000,28.8,unknown
m50.vh20,bin1v1_E,37.4,1180,70,97,0000,28.8,unknown
m50.vh20,bin1v1_G,37.4,1170,70,97,0000,28.8,unknown
m50.vh20,bin1v1_H,37.4,1150,70,97,0000,28.8,unknown
m50.vh20,bin1v1_L,38.7,1150,70,97,0000,28.8,unknown
m50.vh20,bin2v1_A,37.4,1200,74,97,0000,28.8,unknown
m50.vh20,bin2v1_C,37.4,1180,72,97,0000,28.8,unknown
m50.vh20,bin2v1_E,37.4,1180,70,97,0000,28.8,unknown
m50.vh20,bin2v1_G,37.4,1170,70,97,0000,28.8,unknown
m50.vh20,bin2v1_L,38.7,1170,70,97,0000,28.8,unknown
m50.vh20,bin3v1_A,37.4,1200,74,97,0000,28.8,unknown
m50.vh20,bin3v1_C,37.4,1200,72,97,0000,28.8,unknown
m50.vh20,bin3v1_E,37.4,1190,70,97,0000,28.8,unknown
m50.vh20,bin3v1_J,38.7,1180,70,97,0000,28.8,unknown
m50.vh20,bin4v1_A,37.4,1200,74,97,0000,28.8,unknown
m50.vh20,bin4v1_C,37.4,1200,72,97,0000,28.8,unknown
m50.vh20,bin4v1_E,37.4,1190,70,97,0000,28.8,unknown
m50.vh20,bin4v1_H,38.7,1190,70,97,0000,28.8,unknown
m50.vh20,bin5v1_A,37.4,1210,74,97,0000,28.8,unknown
m50.vh20,bin5v1_C,37.4,1210,72,97,0000,28.8,unknown
m50.vh20,bin5v1_E,37.4,1200,70,97,0000,28.8,unknown
m50.vh20,bin6v1_A,37.4,1220,74,97,0000,28.8,unknown
m50.vh20,bin6v1_C,37.4,1220,72,97,0000,28.8,unknown
m50.vh20,bin6v1_E,37.4,1220,70,97,0000,28.8,unknown
m50.vh20,bin9v1_A,37.4,1230,74,97,0000,28.8,unknown
m50.vh20,bin9v1_C,37.4,1230,72,97,0000,28.8,unknown
m50.vh20,bin9v1_E,37.4,1230,70,97,0000,28.8,unknown
m50.vh20,bin1,37.4,1200,70,97,0000,28.8,unknown
m50.vh20,bin2,37.4,1200,70,97,0000,28.8,unknown
m50.vh20,bin3,37.4,1200,70,97,0000,28.8,unknown
m50.vh20,bin4,37.4,1200,70,97,0000,28.8,unknown
m50.vh20,bin5,37.4,1200,70,97,0000,28.8,unknown
m50.vh20,bin6,37.4,1200,70,97,0000,28.8,unknown
m50.vh20,bin9,37.4,1200,70,97,0000,28.8,unknown
m50.vh20,bin10,37.4,1200,70,97,0000,28.8,unknown
m50.vh30,bin1v1_A,36.7,1350,74,97,0000,29.8,unknown
m50.vh30,bin1v1_C,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin1v1_E,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin1v1_G,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin2v1_A,36.7,1350,74,97,0000,29.8,unknown
m50.vh30,bin2v1_C,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin2v1_E,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin2v1_G,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin3v1_A,36.7,1350,74,97,0000,29.8,unknown
m50.vh30,bin3v1_C,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin3v1_E,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin3v1_G,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin4v1_A,36.7,1350,74,97,0000,29.8,unknown
m50.vh30,bin4v1_C,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin4v1_E,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin4v1_G,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin5v1_A,36.7,1350,74,97,0000,29.8,unknown
m50.vh30,bin5v1_C,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin5v1_E,36.7,1350,72,97,0000,29.8,unknown
m50.vh30,bin5v1_G,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin1,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin2,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin3,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin4,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin5,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin6,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin9,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin10,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin11,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin12,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin13,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin14,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin15,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin16,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin17,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin18,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin19,36.7,1350,70,97,0000,29.8,unknown
m50.vh30,bin20,36.7,1350,70,97,0000,29.8,unknown
m50.vh40,bin1v1_A,36.7,1360,74,97,0000,29.8,unknown
m50.vh40,bin1v1_C,36.7,1360,72,97,0000,29.8,unknown
m50.vh40,bin1v1_E,36.7,1360,72,97,0000,29.8,unknown
m50.vh40,bin1v1_G,36.7,1360,70,97,0000,29.8,unknown
m50.vh40,bin2v1_A,36.7,1370,74,97,0000,29.8,unknown
m50.vh40,bin2v1_C,36.7,1370,72,97,0000,29.8,unknown
m50.vh40,bin2v1_E,36.7,1370,72,97,0000,29.8,unknown
